month,total_spend,total_customers,CAC,CAC_Classification,High_Spend_Flag,Anomaly_Reason,CAC_Rolling_3M,CAC_Weighted
2024-01,15300.0,375,40.8,Very Efficient,False,Normal,,0.7418181818181818
2024-02,18300.0,435,42.06896551724138,Very Efficient,False,Normal,,1.5297805642633229
2024-03,21300.0,480,44.375,Very Efficient,False,Normal,42.414655172413795,2.4204545454545454
2024-04,40200.0,710,56.61971830985915,Efficient,False,Normal,47.68789460903351,4.1177976952624835
2024-05,41000.0,385,106.49350649350649,Moderate,False,Normal,69.16274160112188,9.681227863046045
2024-06,67500.0,870,77.58620689655173,Efficient,True,High spend month (top 25%),80.23314389997246,8.463949843260188
2024-07,58150.0,725,80.20689655172414,Efficient,True,High spend month (top 25%),88.09553664726077,10.208150470219435
2024-08,39000.0,765,50.98039215686274,Efficient,False,Normal,69.59116520171288,7.4153297682709445
2024-09,59000.0,1090,54.12844036697248,Efficient,True,High spend month (top 25%),61.771909691853125,8.857381150959133
2024-10,32500.0,575,56.52173913043478,Efficient,False,Normal,53.87685721809,10.276679841897232
